"Part Number","Status","Characteristic","Length","Width","Thickness","Temperature characteristics","Rated Voltage","Capacitance","Tolerance of capacitance","Notes"
"GRM022D80E474ME05#","In Production|NewStatus","General|Up to 105℃|Reflow soldering","0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","X6T(EIA)","2.5Vdc","0.47μF","±20%","Derating1。 Only for mobile devices"
"GRM188D70E476ME01#","In Production|NewStatus","General|Up to 125℃|Reflow soldering|Flow soldering","1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","X7T(EIA)","2.5Vdc","47μF","±20%","Measure capacitance after heat treatment"
"GRM188R60G476ME01#","In Production|NewStatus","General|Up to 85℃|Reflow soldering|Flow soldering","1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","X5R(EIA)","4Vdc","47μF","±20%","Measure capacitance after heat treatment"
"GRM188R60J476ME01#","In Production|NewStatus","General|Up to 85℃|Reflow soldering|Flow soldering","1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","X5R(EIA)","6.3Vdc","47μF","±20%","Derating1。 Measure capacitance after heat treatment"
"GRM31CC71E226ME15#","In Production|NewStatus","General|Up to 125℃|Reflow soldering|Flow soldering","3.2 ±0.3mm","1.6 ±0.3mm","1.6 ±0.3mm","X7S(EIA)","25Vdc","22μF","±20%",""
"GRM0115C1C100GE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","10pF","±2%",""
"GRM0115C1C100JE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","10pF","±5%",""
"GRM0115C1C101GE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","100pF","±2%",""
"GRM0115C1C101JE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","100pF","±5%",""
"GRM0115C1C110GE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","11pF","±2%",""
